,Train Loss,Train Accuracy
0,0.008304493609815836,81.92833333333334
1,0.002416724072350189,95.30666666666666
2,0.0018638920892185221,96.22500000000001
3,0.001487305433920119,97.02833333333334
4,0.0013474170558096376,97.35333333333334
5,0.0011742031232094936,97.63
6,0.0010239361902757082,98.005
7,0.0009818335657944166,98.08
8,0.000929530243729702,98.195
9,0.0008590031223465606,98.31
10,0.0008856152128393054,98.30499999999999
11,0.0007396908685715365,98.63
12,0.0007526144373484082,98.55166666666668
13,0.0007565426272705584,98.575
14,0.0006937739093295325,98.67166666666667
15,0.0006236854878133424,98.81
16,0.0006960846413386359,98.75833333333334
17,0.0006716664546111133,98.80666666666667
18,0.0005964854664488238,98.89333333333333
19,0.0005668088122275095,98.99333333333334
20,0.0006372760596439814,98.89
21,0.0006479237992197871,98.89
22,0.0005643504568118108,98.97833333333334
23,0.0005585318179092955,98.93666666666667
24,0.0005285615313652822,99.08166666666666
25,0.0005242831944895584,99.06
26,0.0005986874216915718,98.985
27,0.0005747378395147507,99.02833333333334
28,0.0005568850135557474,99.04333333333334
29,0.0005256620071441224,99.115
30,0.0005030810504729677,99.16166666666668
31,0.0005079909492257243,99.225
32,0.00048808393478194407,99.16666666666667
33,0.0005348748171403618,99.13499999999999
34,0.00047790198998829114,99.17666666666666
35,0.0005359099580325439,99.09
36,0.00047016371122885137,99.25500000000001
37,0.0004843197858011782,99.19833333333334
38,0.0004255042456281325,99.24833333333333
39,0.00047844362727718137,99.27333333333334
40,0.0005401296220751072,99.17333333333333
41,0.00044308208642280595,99.28
42,0.0004648193849298918,99.27833333333334
43,0.0004917540209147302,99.23666666666666
44,0.00047614923740192444,99.27333333333334
45,0.0004567488108022199,99.285
46,0.0004876338987000249,99.24666666666667
47,0.0004625809427630571,99.31666666666666
48,0.00037822777106357987,99.40166666666667
49,0.0004712957706012048,99.30166666666666
50,0.0005148187121220843,99.21
51,0.0005003221034700866,99.31666666666666
52,0.00044619022985696474,99.33
53,0.00045366122634231637,99.32666666666667
54,0.0004015920539204144,99.38666666666667
55,0.0003891325180744789,99.35666666666667
56,0.00047529541932433,99.325
57,0.0005085369764000164,99.23166666666667
